PyTorch Version: 2.5.1
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 0
Output Path: ../my-logs/afad-ce-0.4-3
Script: afad-ce.py
Epoch: 009/050 | Batch 0000/0462 | Cost: 2.6361
Epoch: 009/050 | Batch 0050/0462 | Cost: 2.7475
Epoch: 009/050 | Batch 0100/0462 | Cost: 2.8340
Epoch: 009/050 | Batch 0150/0462 | Cost: 2.7667
Epoch: 009/050 | Batch 0200/0462 | Cost: 2.6931
Epoch: 009/050 | Batch 0250/0462 | Cost: 2.7410
Epoch: 009/050 | Batch 0300/0462 | Cost: 2.7162
Epoch: 009/050 | Batch 0350/0462 | Cost: 2.7776
Epoch: 009/050 | Batch 0400/0462 | Cost: 2.6874
Epoch: 009/050 | Batch 0450/0462 | Cost: 2.6721
MAE/RMSE: | Current Valid: 7.54/9.15 Ep. 8 | Best Valid : 7.20/8.76 Ep. 7
Time elapsed: 29.59 min
Epoch: 010/050 | Batch 0000/0462 | Cost: 2.7036
Epoch: 010/050 | Batch 0050/0462 | Cost: 2.6973
Epoch: 010/050 | Batch 0100/0462 | Cost: 2.7123
Epoch: 010/050 | Batch 0150/0462 | Cost: 2.6569
Epoch: 010/050 | Batch 0200/0462 | Cost: 2.7210
Epoch: 010/050 | Batch 0250/0462 | Cost: 2.8008
Epoch: 010/050 | Batch 0300/0462 | Cost: 2.6566
Epoch: 010/050 | Batch 0350/0462 | Cost: 2.7328
Epoch: 010/050 | Batch 0400/0462 | Cost: 2.6778
Epoch: 010/050 | Batch 0450/0462 | Cost: 2.6113
MAE/RMSE: | Current Valid: 7.60/9.21 Ep. 9 | Best Valid : 7.20/8.76 Ep. 7
Time elapsed: 32.89 min
Epoch: 011/050 | Batch 0000/0462 | Cost: 2.6326
Epoch: 011/050 | Batch 0050/0462 | Cost: 2.5945
Epoch: 011/050 | Batch 0100/0462 | Cost: 2.7278
Epoch: 011/050 | Batch 0150/0462 | Cost: 2.7382
Epoch: 011/050 | Batch 0200/0462 | Cost: 2.6612
Epoch: 011/050 | Batch 0250/0462 | Cost: 2.7279
Epoch: 011/050 | Batch 0300/0462 | Cost: 2.7823
Epoch: 011/050 | Batch 0350/0462 | Cost: 2.6607
Epoch: 011/050 | Batch 0400/0462 | Cost: 2.7893
Epoch: 011/050 | Batch 0450/0462 | Cost: 2.8095
MAE/RMSE: | Current Valid: 6.59/8.00 Ep. 10 | Best Valid : 6.59/8.00 Ep. 10
