PyTorch Version: 2.5.1
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 0
Task Importance Weight: 0
Output Path: ../my-logs/afad-coral-0.4-3
Script: afad-coral.py
Time elapsed: 21.34 min
Epoch: 009/050 | Batch 0000/0462 | Cost: 9.6123
Epoch: 009/050 | Batch 0050/0462 | Cost: 9.2740
Epoch: 009/050 | Batch 0100/0462 | Cost: 9.2692
Epoch: 009/050 | Batch 0150/0462 | Cost: 9.2340
Epoch: 009/050 | Batch 0200/0462 | Cost: 8.6504
Epoch: 009/050 | Batch 0250/0462 | Cost: 9.3269
Epoch: 009/050 | Batch 0300/0462 | Cost: 9.4133
Epoch: 009/050 | Batch 0350/0462 | Cost: 9.3795
Epoch: 009/050 | Batch 0400/0462 | Cost: 9.0037
Epoch: 009/050 | Batch 0450/0462 | Cost: 9.1893
MAE/RMSE: | Current Valid: 7.70/8.79 Ep. 8 | Best Valid : 6.53/7.67 Ep. 4
Time elapsed: 24.65 min
Epoch: 010/050 | Batch 0000/0462 | Cost: 9.5642
Epoch: 010/050 | Batch 0050/0462 | Cost: 9.0284
Epoch: 010/050 | Batch 0100/0462 | Cost: 8.5572
Epoch: 010/050 | Batch 0150/0462 | Cost: 8.7702
Epoch: 010/050 | Batch 0200/0462 | Cost: 9.0488
Epoch: 010/050 | Batch 0250/0462 | Cost: 9.0246
Epoch: 010/050 | Batch 0300/0462 | Cost: 8.8962
Epoch: 010/050 | Batch 0350/0462 | Cost: 8.9764
Epoch: 010/050 | Batch 0400/0462 | Cost: 9.0565
Epoch: 010/050 | Batch 0450/0462 | Cost: 9.1543
MAE/RMSE: | Current Valid: 6.40/7.60 Ep. 9 | Best Valid : 6.40/7.60 Ep. 9
Time elapsed: 27.96 min
Epoch: 011/050 | Batch 0000/0462 | Cost: 8.2091
Epoch: 011/050 | Batch 0050/0462 | Cost: 8.2167
Epoch: 011/050 | Batch 0100/0462 | Cost: 8.6695
Epoch: 011/050 | Batch 0150/0462 | Cost: 8.3067
Epoch: 011/050 | Batch 0200/0462 | Cost: 8.6166
Epoch: 011/050 | Batch 0250/0462 | Cost: 8.6808
Epoch: 011/050 | Batch 0300/0462 | Cost: 8.7764
Epoch: 011/050 | Batch 0350/0462 | Cost: 8.8955
Epoch: 011/050 | Batch 0400/0462 | Cost: 8.5082
Epoch: 011/050 | Batch 0450/0462 | Cost: 8.3329
MAE/RMSE: | Current Valid: 6.43/7.64 Ep. 10 | Best Valid : 6.40/7.60 Ep. 9
Time elapsed: 31.26 min
Epoch: 012/050 | Batch 0000/0462 | Cost: 8.6207
Epoch: 012/050 | Batch 0050/0462 | Cost: 8.3735
Epoch: 012/050 | Batch 0100/0462 | Cost: 8.3358
Epoch: 012/050 | Batch 0150/0462 | Cost: 8.4870
Epoch: 012/050 | Batch 0200/0462 | Cost: 8.2245
Epoch: 012/050 | Batch 0250/0462 | Cost: 8.9020
Epoch: 012/050 | Batch 0300/0462 | Cost: 7.8665
Epoch: 012/050 | Batch 0350/0462 | Cost: 8.3517
Epoch: 012/050 | Batch 0400/0462 | Cost: 8.3604
Epoch: 012/050 | Batch 0450/0462 | Cost: 8.4729
MAE/RMSE: | Current Valid: 6.84/8.02 Ep. 11 | Best Valid : 6.40/7.60 Ep. 9
Time elapsed: 34.57 min
Epoch: 013/050 | Batch 0000/0462 | Cost: 8.0580
Epoch: 013/050 | Batch 0050/0462 | Cost: 7.9792
Epoch: 013/050 | Batch 0100/0462 | Cost: 7.9030
Epoch: 013/050 | Batch 0150/0462 | Cost: 8.2051
Epoch: 013/050 | Batch 0200/0462 | Cost: 8.0826
Epoch: 013/050 | Batch 0250/0462 | Cost: 8.7352
Epoch: 013/050 | Batch 0300/0462 | Cost: 8.7682
Epoch: 013/050 | Batch 0350/0462 | Cost: 7.8682
Epoch: 013/050 | Batch 0400/0462 | Cost: 7.9958
Epoch: 013/050 | Batch 0450/0462 | Cost: 8.0815
MAE/RMSE: | Current Valid: 6.85/8.08 Ep. 12 | Best Valid : 6.40/7.60 Ep. 9
Time elapsed: 37.87 min
Epoch: 014/050 | Batch 0000/0462 | Cost: 8.3922
Epoch: 014/050 | Batch 0050/0462 | Cost: 7.7501
Epoch: 014/050 | Batch 0100/0462 | Cost: 8.4039
Epoch: 014/050 | Batch 0150/0462 | Cost: 7.8530
Epoch: 014/050 | Batch 0200/0462 | Cost: 8.1511
Epoch: 014/050 | Batch 0250/0462 | Cost: 7.8966
Epoch: 014/050 | Batch 0300/0462 | Cost: 8.0529
Epoch: 014/050 | Batch 0350/0462 | Cost: 7.9254
Epoch: 014/050 | Batch 0400/0462 | Cost: 8.1110
Epoch: 014/050 | Batch 0450/0462 | Cost: 8.0234
MAE/RMSE: | Current Valid: 6.35/7.65 Ep. 13 | Best Valid : 6.35/7.65 Ep. 13
Time elapsed: 41.17 min
Epoch: 015/050 | Batch 0000/0462 | Cost: 7.7826
Epoch: 015/050 | Batch 0050/0462 | Cost: 7.7723
Epoch: 015/050 | Batch 0100/0462 | Cost: 8.2379
Epoch: 015/050 | Batch 0150/0462 | Cost: 7.4212
Epoch: 015/050 | Batch 0200/0462 | Cost: 7.8228
Epoch: 015/050 | Batch 0250/0462 | Cost: 8.1345
Epoch: 015/050 | Batch 0300/0462 | Cost: 7.4505
Epoch: 015/050 | Batch 0350/0462 | Cost: 7.5329
Epoch: 015/050 | Batch 0400/0462 | Cost: 7.6315
Epoch: 015/050 | Batch 0450/0462 | Cost: 7.5596
MAE/RMSE: | Current Valid: 6.84/8.08 Ep. 14 | Best Valid : 6.35/7.65 Ep. 13
Time elapsed: 44.47 min
Epoch: 016/050 | Batch 0000/0462 | Cost: 7.0778
Epoch: 016/050 | Batch 0050/0462 | Cost: 7.0996
Epoch: 016/050 | Batch 0100/0462 | Cost: 7.7938
Epoch: 016/050 | Batch 0150/0462 | Cost: 7.3115
Epoch: 016/050 | Batch 0200/0462 | Cost: 7.3069
Epoch: 016/050 | Batch 0250/0462 | Cost: 7.6740
Epoch: 016/050 | Batch 0300/0462 | Cost: 7.3834
Epoch: 016/050 | Batch 0350/0462 | Cost: 7.7565
Epoch: 016/050 | Batch 0400/0462 | Cost: 7.3810
Epoch: 016/050 | Batch 0450/0462 | Cost: 7.5100
MAE/RMSE: | Current Valid: 6.99/8.31 Ep. 15 | Best Valid : 6.35/7.65 Ep. 13
Time elapsed: 47.76 min
Epoch: 017/050 | Batch 0000/0462 | Cost: 7.3073
Epoch: 017/050 | Batch 0050/0462 | Cost: 7.1224
Epoch: 017/050 | Batch 0100/0462 | Cost: 7.3387
Epoch: 017/050 | Batch 0150/0462 | Cost: 7.2798
Epoch: 017/050 | Batch 0200/0462 | Cost: 7.4969
Epoch: 017/050 | Batch 0250/0462 | Cost: 7.5714
Epoch: 017/050 | Batch 0300/0462 | Cost: 7.2200
Epoch: 017/050 | Batch 0350/0462 | Cost: 7.3198
Epoch: 017/050 | Batch 0400/0462 | Cost: 7.3654
Epoch: 017/050 | Batch 0450/0462 | Cost: 7.3194
MAE/RMSE: | Current Valid: 6.33/7.69 Ep. 16 | Best Valid : 6.33/7.69 Ep. 16
Time elapsed: 51.07 min
Epoch: 018/050 | Batch 0000/0462 | Cost: 6.9580
Epoch: 018/050 | Batch 0050/0462 | Cost: 6.8786
Epoch: 018/050 | Batch 0100/0462 | Cost: 7.0535
Epoch: 018/050 | Batch 0150/0462 | Cost: 7.1041
Epoch: 018/050 | Batch 0200/0462 | Cost: 6.6797
Epoch: 018/050 | Batch 0250/0462 | Cost: 7.4440
Epoch: 018/050 | Batch 0300/0462 | Cost: 6.6129
Epoch: 018/050 | Batch 0350/0462 | Cost: 6.8594
Epoch: 018/050 | Batch 0400/0462 | Cost: 7.6095
Epoch: 018/050 | Batch 0450/0462 | Cost: 6.8462
MAE/RMSE: | Current Valid: 5.91/7.23 Ep. 17 | Best Valid : 5.91/7.23 Ep. 17
Time elapsed: 54.37 min
Epoch: 019/050 | Batch 0000/0462 | Cost: 6.9554
Epoch: 019/050 | Batch 0050/0462 | Cost: 6.9711
Epoch: 019/050 | Batch 0100/0462 | Cost: 6.6256
Epoch: 019/050 | Batch 0150/0462 | Cost: 7.0311
Epoch: 019/050 | Batch 0200/0462 | Cost: 6.8995
Epoch: 019/050 | Batch 0250/0462 | Cost: 6.8392
Epoch: 019/050 | Batch 0300/0462 | Cost: 6.5798
Epoch: 019/050 | Batch 0350/0462 | Cost: 6.9978
Epoch: 019/050 | Batch 0400/0462 | Cost: 7.1316
Epoch: 019/050 | Batch 0450/0462 | Cost: 6.5193
MAE/RMSE: | Current Valid: 5.62/6.96 Ep. 18 | Best Valid : 5.62/6.96 Ep. 18
Time elapsed: 57.68 min
Epoch: 020/050 | Batch 0000/0462 | Cost: 6.5381
Epoch: 020/050 | Batch 0050/0462 | Cost: 6.4165
Epoch: 020/050 | Batch 0100/0462 | Cost: 6.5905
Epoch: 020/050 | Batch 0150/0462 | Cost: 6.0809
Epoch: 020/050 | Batch 0200/0462 | Cost: 7.3829
Epoch: 020/050 | Batch 0250/0462 | Cost: 6.5731
Epoch: 020/050 | Batch 0300/0462 | Cost: 6.4052
Epoch: 020/050 | Batch 0350/0462 | Cost: 6.9950
Epoch: 020/050 | Batch 0400/0462 | Cost: 6.8904
Epoch: 020/050 | Batch 0450/0462 | Cost: 7.9817
MAE/RMSE: | Current Valid: 5.67/6.99 Ep. 19 | Best Valid : 5.62/6.96 Ep. 18
Time elapsed: 60.99 min
Epoch: 021/050 | Batch 0000/0462 | Cost: 6.6163
Epoch: 021/050 | Batch 0050/0462 | Cost: 6.4026
Epoch: 021/050 | Batch 0100/0462 | Cost: 6.5898
Epoch: 021/050 | Batch 0150/0462 | Cost: 6.1848
Epoch: 021/050 | Batch 0200/0462 | Cost: 6.4781
Epoch: 021/050 | Batch 0250/0462 | Cost: 6.5829
Epoch: 021/050 | Batch 0300/0462 | Cost: 6.7194
Epoch: 021/050 | Batch 0350/0462 | Cost: 6.5052
Epoch: 021/050 | Batch 0400/0462 | Cost: 6.7481
Epoch: 021/050 | Batch 0450/0462 | Cost: 6.5994
MAE/RMSE: | Current Valid: 6.37/7.63 Ep. 20 | Best Valid : 5.62/6.96 Ep. 18
Time elapsed: 64.28 min
Epoch: 022/050 | Batch 0000/0462 | Cost: 6.4774
Epoch: 022/050 | Batch 0050/0462 | Cost: 6.1751
Epoch: 022/050 | Batch 0100/0462 | Cost: 6.4677
Epoch: 022/050 | Batch 0150/0462 | Cost: 6.8155
Epoch: 022/050 | Batch 0200/0462 | Cost: 6.3187
Epoch: 022/050 | Batch 0250/0462 | Cost: 6.0276
Epoch: 022/050 | Batch 0300/0462 | Cost: 6.2996
Epoch: 022/050 | Batch 0350/0462 | Cost: 6.2270
Epoch: 022/050 | Batch 0400/0462 | Cost: 6.0240
Epoch: 022/050 | Batch 0450/0462 | Cost: 6.1391
MAE/RMSE: | Current Valid: 5.43/6.79 Ep. 21 | Best Valid : 5.43/6.79 Ep. 21
Time elapsed: 67.59 min
Epoch: 023/050 | Batch 0000/0462 | Cost: 5.6312
Epoch: 023/050 | Batch 0050/0462 | Cost: 6.0287
Epoch: 023/050 | Batch 0100/0462 | Cost: 5.8613
Epoch: 023/050 | Batch 0150/0462 | Cost: 5.8459
Epoch: 023/050 | Batch 0200/0462 | Cost: 5.7782
Epoch: 023/050 | Batch 0250/0462 | Cost: 6.3274
Epoch: 023/050 | Batch 0300/0462 | Cost: 6.1456
Epoch: 023/050 | Batch 0350/0462 | Cost: 6.0840
Epoch: 023/050 | Batch 0400/0462 | Cost: 6.2949
