PyTorch Version: 2.5.1
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 0
Task Importance Weight: 0
Output Path: ../my-logs/myafad-coral-seed0
Script: afad-coral.py
Epoch: 001/050 | Batch 0000/0462 | Cost: 17.9052
Epoch: 001/050 | Batch 0050/0462 | Cost: 16.6993
Epoch: 001/050 | Batch 0100/0462 | Cost: 16.1811
Epoch: 001/050 | Batch 0150/0462 | Cost: 16.1655
Epoch: 001/050 | Batch 0200/0462 | Cost: 15.8838
Epoch: 001/050 | Batch 0250/0462 | Cost: 15.6751
Epoch: 001/050 | Batch 0300/0462 | Cost: 15.3213
Epoch: 001/050 | Batch 0350/0462 | Cost: 15.3744
Epoch: 001/050 | Batch 0400/0462 | Cost: 14.8041
Epoch: 001/050 | Batch 0450/0462 | Cost: 14.9926
MAE/RMSE/Loss/Accuracy: | Current Valid: 7.61/9.40/15.1042/3.50% Ep. 0 | Best Valid : 7.61/9.40/15.1042/3.50% Ep. 0
Time elapsed: 1.59 min
Epoch: 002/050 | Batch 0000/0462 | Cost: 14.8729
Epoch: 002/050 | Batch 0050/0462 | Cost: 14.9782
Epoch: 002/050 | Batch 0100/0462 | Cost: 14.1354
Epoch: 002/050 | Batch 0150/0462 | Cost: 14.0850
Epoch: 002/050 | Batch 0200/0462 | Cost: 13.6937
Epoch: 002/050 | Batch 0250/0462 | Cost: 14.4289
Epoch: 002/050 | Batch 0300/0462 | Cost: 13.7753
Epoch: 002/050 | Batch 0350/0462 | Cost: 14.0741
Epoch: 002/050 | Batch 0400/0462 | Cost: 13.9045
Epoch: 002/050 | Batch 0450/0462 | Cost: 13.5636
MAE/RMSE/Loss/Accuracy: | Current Valid: 5.97/7.55/13.5096/5.09% Ep. 1 | Best Valid : 5.97/7.55/13.5096/5.09% Ep. 1
Time elapsed: 3.17 min
Epoch: 003/050 | Batch 0000/0462 | Cost: 13.1486
Epoch: 003/050 | Batch 0050/0462 | Cost: 13.2649
Epoch: 003/050 | Batch 0100/0462 | Cost: 12.7521
Epoch: 003/050 | Batch 0150/0462 | Cost: 12.9765
Epoch: 003/050 | Batch 0200/0462 | Cost: 12.9037
Epoch: 003/050 | Batch 0250/0462 | Cost: 13.0274
Epoch: 003/050 | Batch 0300/0462 | Cost: 12.7331
Epoch: 003/050 | Batch 0350/0462 | Cost: 12.9170
Epoch: 003/050 | Batch 0400/0462 | Cost: 12.5053
Epoch: 003/050 | Batch 0450/0462 | Cost: 12.4917
MAE/RMSE/Loss/Accuracy: | Current Valid: 5.92/7.44/12.4821/5.26% Ep. 2 | Best Valid : 5.92/7.44/12.4821/5.26% Ep. 2
Time elapsed: 4.76 min
Epoch: 004/050 | Batch 0000/0462 | Cost: 12.1593
Epoch: 004/050 | Batch 0050/0462 | Cost: 12.0681
Epoch: 004/050 | Batch 0100/0462 | Cost: 12.1762
Epoch: 004/050 | Batch 0150/0462 | Cost: 11.8794
Epoch: 004/050 | Batch 0200/0462 | Cost: 12.1190
Epoch: 004/050 | Batch 0250/0462 | Cost: 12.3499
Epoch: 004/050 | Batch 0300/0462 | Cost: 11.8432
Epoch: 004/050 | Batch 0350/0462 | Cost: 11.4612
Epoch: 004/050 | Batch 0400/0462 | Cost: 11.3901
Epoch: 004/050 | Batch 0450/0462 | Cost: 11.4514
MAE/RMSE/Loss/Accuracy: | Current Valid: 5.57/7.26/12.2699/6.14% Ep. 3 | Best Valid : 5.57/7.26/12.2699/6.14% Ep. 3
Time elapsed: 6.34 min
Epoch: 005/050 | Batch 0000/0462 | Cost: 11.7972
Epoch: 005/050 | Batch 0050/0462 | Cost: 11.5954
Epoch: 005/050 | Batch 0100/0462 | Cost: 10.8766
Epoch: 005/050 | Batch 0150/0462 | Cost: 11.2305
Epoch: 005/050 | Batch 0200/0462 | Cost: 11.2305
Epoch: 005/050 | Batch 0250/0462 | Cost: 11.1806
Epoch: 005/050 | Batch 0300/0462 | Cost: 11.0487
Epoch: 005/050 | Batch 0350/0462 | Cost: 11.2151
Epoch: 005/050 | Batch 0400/0462 | Cost: 10.8559
Epoch: 005/050 | Batch 0450/0462 | Cost: 11.1957
MAE/RMSE/Loss/Accuracy: | Current Valid: 4.51/5.88/10.8857/7.72% Ep. 4 | Best Valid : 4.51/5.88/10.8857/7.72% Ep. 4
Time elapsed: 7.93 min
Epoch: 006/050 | Batch 0000/0462 | Cost: 10.5706
Epoch: 006/050 | Batch 0050/0462 | Cost: 10.7672
Epoch: 006/050 | Batch 0100/0462 | Cost: 10.8456
Epoch: 006/050 | Batch 0150/0462 | Cost: 10.5432
Epoch: 006/050 | Batch 0200/0462 | Cost: 10.5963
Epoch: 006/050 | Batch 0250/0462 | Cost: 10.4442
Epoch: 006/050 | Batch 0300/0462 | Cost: 10.0400
Epoch: 006/050 | Batch 0350/0462 | Cost: 10.0019
Epoch: 006/050 | Batch 0400/0462 | Cost: 9.9751
Epoch: 006/050 | Batch 0450/0462 | Cost: 10.1650
MAE/RMSE/Loss/Accuracy: | Current Valid: 4.35/5.76/10.6040/8.77% Ep. 5 | Best Valid : 4.35/5.76/10.6040/8.77% Ep. 5
Time elapsed: 9.52 min
Epoch: 007/050 | Batch 0000/0462 | Cost: 10.1645
Epoch: 007/050 | Batch 0050/0462 | Cost: 9.9482
Epoch: 007/050 | Batch 0100/0462 | Cost: 9.9090
Epoch: 007/050 | Batch 0150/0462 | Cost: 10.1060
Epoch: 007/050 | Batch 0200/0462 | Cost: 10.1816
Epoch: 007/050 | Batch 0250/0462 | Cost: 9.8667
Epoch: 007/050 | Batch 0300/0462 | Cost: 9.6453
Epoch: 007/050 | Batch 0350/0462 | Cost: 10.0390
Epoch: 007/050 | Batch 0400/0462 | Cost: 9.5090
Epoch: 007/050 | Batch 0450/0462 | Cost: 9.6408
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.87/5.20/9.9907/9.21% Ep. 6 | Best Valid : 3.87/5.20/9.9907/9.21% Ep. 6
Time elapsed: 11.10 min
Epoch: 008/050 | Batch 0000/0462 | Cost: 9.5453
Epoch: 008/050 | Batch 0050/0462 | Cost: 9.2851
Epoch: 008/050 | Batch 0100/0462 | Cost: 9.8456
Epoch: 008/050 | Batch 0150/0462 | Cost: 9.8316
Epoch: 008/050 | Batch 0200/0462 | Cost: 9.5943
Epoch: 008/050 | Batch 0250/0462 | Cost: 9.7143
Epoch: 008/050 | Batch 0300/0462 | Cost: 9.4807
Epoch: 008/050 | Batch 0350/0462 | Cost: 9.3753
Epoch: 008/050 | Batch 0400/0462 | Cost: 9.6626
Epoch: 008/050 | Batch 0450/0462 | Cost: 9.3078
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.87/5.20/9.6730/9.61% Ep. 7 | Best Valid : 3.87/5.20/9.9907/9.21% Ep. 6
Time elapsed: 12.69 min
Epoch: 009/050 | Batch 0000/0462 | Cost: 9.1775
Epoch: 009/050 | Batch 0050/0462 | Cost: 8.7727
Epoch: 009/050 | Batch 0100/0462 | Cost: 9.0978
Epoch: 009/050 | Batch 0150/0462 | Cost: 8.7046
Epoch: 009/050 | Batch 0200/0462 | Cost: 9.2227
Epoch: 009/050 | Batch 0250/0462 | Cost: 9.0675
Epoch: 009/050 | Batch 0300/0462 | Cost: 8.8341
Epoch: 009/050 | Batch 0350/0462 | Cost: 9.2083
Epoch: 009/050 | Batch 0400/0462 | Cost: 9.0215
Epoch: 009/050 | Batch 0450/0462 | Cost: 9.2908
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.66/4.91/9.2187/9.92% Ep. 8 | Best Valid : 3.66/4.91/9.2187/9.92% Ep. 8
Time elapsed: 14.28 min
Epoch: 010/050 | Batch 0000/0462 | Cost: 8.5096
Epoch: 010/050 | Batch 0050/0462 | Cost: 8.6753
Epoch: 010/050 | Batch 0100/0462 | Cost: 8.4570
Epoch: 010/050 | Batch 0150/0462 | Cost: 8.8468
Epoch: 010/050 | Batch 0200/0462 | Cost: 8.6296
Epoch: 010/050 | Batch 0250/0462 | Cost: 8.9638
Epoch: 010/050 | Batch 0300/0462 | Cost: 8.5349
Epoch: 010/050 | Batch 0350/0462 | Cost: 8.6255
Epoch: 010/050 | Batch 0400/0462 | Cost: 8.6683
Epoch: 010/050 | Batch 0450/0462 | Cost: 8.5208
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.73/5.02/9.0296/10.06% Ep. 9 | Best Valid : 3.66/4.91/9.2187/9.92% Ep. 8
Time elapsed: 15.86 min
Epoch: 011/050 | Batch 0000/0462 | Cost: 8.5064
Epoch: 011/050 | Batch 0050/0462 | Cost: 8.5828
Epoch: 011/050 | Batch 0100/0462 | Cost: 8.5923
Epoch: 011/050 | Batch 0150/0462 | Cost: 8.3234
Epoch: 011/050 | Batch 0200/0462 | Cost: 8.5189
Epoch: 011/050 | Batch 0250/0462 | Cost: 8.5746
Epoch: 011/050 | Batch 0300/0462 | Cost: 8.2506
Epoch: 011/050 | Batch 0350/0462 | Cost: 8.2342
Epoch: 011/050 | Batch 0400/0462 | Cost: 7.9104
Epoch: 011/050 | Batch 0450/0462 | Cost: 8.1670
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.76/4.98/9.0094/9.32% Ep. 10 | Best Valid : 3.66/4.91/9.2187/9.92% Ep. 8
Time elapsed: 17.44 min
Epoch: 012/050 | Batch 0000/0462 | Cost: 8.3179
Epoch: 012/050 | Batch 0050/0462 | Cost: 8.0937
Epoch: 012/050 | Batch 0100/0462 | Cost: 8.3907
Epoch: 012/050 | Batch 0150/0462 | Cost: 8.1047
Epoch: 012/050 | Batch 0200/0462 | Cost: 8.2730
Epoch: 012/050 | Batch 0250/0462 | Cost: 8.2533
Epoch: 012/050 | Batch 0300/0462 | Cost: 7.8764
Epoch: 012/050 | Batch 0350/0462 | Cost: 7.9587
Epoch: 012/050 | Batch 0400/0462 | Cost: 8.3105
Epoch: 012/050 | Batch 0450/0462 | Cost: 8.4249
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.55/4.80/8.6759/10.54% Ep. 11 | Best Valid : 3.55/4.80/8.6759/10.54% Ep. 11
Time elapsed: 19.03 min
Epoch: 013/050 | Batch 0000/0462 | Cost: 7.7168
Epoch: 013/050 | Batch 0050/0462 | Cost: 7.8933
Epoch: 013/050 | Batch 0100/0462 | Cost: 8.2371
Epoch: 013/050 | Batch 0150/0462 | Cost: 8.4046
Epoch: 013/050 | Batch 0200/0462 | Cost: 7.7911
Epoch: 013/050 | Batch 0250/0462 | Cost: 7.7792
Epoch: 013/050 | Batch 0300/0462 | Cost: 7.9394
Epoch: 013/050 | Batch 0350/0462 | Cost: 7.5982
Epoch: 013/050 | Batch 0400/0462 | Cost: 7.9736
Epoch: 013/050 | Batch 0450/0462 | Cost: 7.7301
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.70/5.09/8.7990/10.23% Ep. 12 | Best Valid : 3.55/4.80/8.6759/10.54% Ep. 11
Time elapsed: 20.61 min
Epoch: 014/050 | Batch 0000/0462 | Cost: 7.6399
Epoch: 014/050 | Batch 0050/0462 | Cost: 7.8021
Epoch: 014/050 | Batch 0100/0462 | Cost: 7.7957
Epoch: 014/050 | Batch 0150/0462 | Cost: 7.2341
Epoch: 014/050 | Batch 0200/0462 | Cost: 8.0031
Epoch: 014/050 | Batch 0250/0462 | Cost: 7.9231
Epoch: 014/050 | Batch 0300/0462 | Cost: 7.7350
Epoch: 014/050 | Batch 0350/0462 | Cost: 7.5104
Epoch: 014/050 | Batch 0400/0462 | Cost: 7.4906
Epoch: 014/050 | Batch 0450/0462 | Cost: 7.6091
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.58/4.83/8.4083/9.91% Ep. 13 | Best Valid : 3.55/4.80/8.6759/10.54% Ep. 11
Time elapsed: 22.20 min
Epoch: 015/050 | Batch 0000/0462 | Cost: 7.5316
Epoch: 015/050 | Batch 0050/0462 | Cost: 7.4541
Epoch: 015/050 | Batch 0100/0462 | Cost: 7.1722
Epoch: 015/050 | Batch 0150/0462 | Cost: 7.9337
Epoch: 015/050 | Batch 0200/0462 | Cost: 7.8381
Epoch: 015/050 | Batch 0250/0462 | Cost: 7.3510
Epoch: 015/050 | Batch 0300/0462 | Cost: 7.4555
Epoch: 015/050 | Batch 0350/0462 | Cost: 7.6230
Epoch: 015/050 | Batch 0400/0462 | Cost: 7.3862
Epoch: 015/050 | Batch 0450/0462 | Cost: 7.5667
MAE/RMSE/Loss/Accuracy: | Current Valid: 3.59/4.95/8.4930/10.81% Ep. 14 | Best Valid : 3.55/4.80/8.6759/10.54% Ep. 11
Time elapsed: 23.78 min
Epoch: 016/050 | Batch 0000/0462 | Cost: 7.5194
