PyTorch Version: 2.5.1
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 0
Task Importance Weight: 0
Output Path: ../my-logs/myafad-coral-0.2-3-seed0
Script: afad-coral.py
Epoch: 001/050 | Batch 0000/0462 | Cost: 17.9159
Epoch: 001/050 | Batch 0050/0462 | Cost: 16.8211
Epoch: 001/050 | Batch 0100/0462 | Cost: 16.1026
Epoch: 001/050 | Batch 0150/0462 | Cost: 16.1517
Epoch: 001/050 | Batch 0200/0462 | Cost: 15.9454
Epoch: 001/050 | Batch 0250/0462 | Cost: 15.5980
Epoch: 001/050 | Batch 0300/0462 | Cost: 15.3549
Epoch: 001/050 | Batch 0350/0462 | Cost: 15.3125
Epoch: 001/050 | Batch 0400/0462 | Cost: 14.9123
Epoch: 001/050 | Batch 0450/0462 | Cost: 15.1238
MAE/RMSE/Loss/Accuracy: | Current Valid: 7.63/9.34/14.9469/3.22% Ep. 0 | Best Valid : 7.63/9.34/14.9469/3.22% Ep. 0
Time elapsed: 2.88 min
Epoch: 002/050 | Batch 0000/0462 | Cost: 14.9552
Epoch: 002/050 | Batch 0050/0462 | Cost: 15.0544
Epoch: 002/050 | Batch 0100/0462 | Cost: 14.1595
Epoch: 002/050 | Batch 0150/0462 | Cost: 14.3967
Epoch: 002/050 | Batch 0200/0462 | Cost: 13.9278
Epoch: 002/050 | Batch 0250/0462 | Cost: 14.4951
Epoch: 002/050 | Batch 0300/0462 | Cost: 13.8638
Epoch: 002/050 | Batch 0350/0462 | Cost: 14.0484
Epoch: 002/050 | Batch 0400/0462 | Cost: 13.9096
Epoch: 002/050 | Batch 0450/0462 | Cost: 13.7792
MAE/RMSE/Loss/Accuracy: | Current Valid: 6.10/7.69/13.5537/5.09% Ep. 1 | Best Valid : 6.10/7.69/13.5537/5.09% Ep. 1
Time elapsed: 6.17 min
Epoch: 003/050 | Batch 0000/0462 | Cost: 13.1595
Epoch: 003/050 | Batch 0050/0462 | Cost: 13.2553
Epoch: 003/050 | Batch 0100/0462 | Cost: 12.9198
Epoch: 003/050 | Batch 0150/0462 | Cost: 12.9876
Epoch: 003/050 | Batch 0200/0462 | Cost: 13.0855
Epoch: 003/050 | Batch 0250/0462 | Cost: 13.0372
Epoch: 003/050 | Batch 0300/0462 | Cost: 12.7637
Epoch: 003/050 | Batch 0350/0462 | Cost: 12.9805
Epoch: 003/050 | Batch 0400/0462 | Cost: 12.7053
