PyTorch Version: 2.5.1
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 2
Task Importance Weight: 0
Output Path: ../my-logs/myafad-coral-0.4-3-seed2
Script: afad-coral.py
Epoch: 001/050 | Batch 0000/0462 | Cost: 18.2319
Epoch: 001/050 | Batch 0050/0462 | Cost: 16.5133
Epoch: 001/050 | Batch 0100/0462 | Cost: 16.1354
Epoch: 001/050 | Batch 0150/0462 | Cost: 16.2163
Epoch: 001/050 | Batch 0200/0462 | Cost: 15.9208
Epoch: 001/050 | Batch 0250/0462 | Cost: 15.7471
Epoch: 001/050 | Batch 0300/0462 | Cost: 15.2541
Epoch: 001/050 | Batch 0350/0462 | Cost: 15.7879
Epoch: 001/050 | Batch 0400/0462 | Cost: 15.0792
Epoch: 001/050 | Batch 0450/0462 | Cost: 14.9148
MAE/RMSE/Loss/Accuracy: | Current Valid: 7.59/9.24/14.9068/3.19% Ep. 0 | Best Valid : 7.59/9.24/14.9068/3.19% Ep. 0
Time elapsed: 1.59 min
Epoch: 002/050 | Batch 0000/0462 | Cost: 14.8869
Epoch: 002/050 | Batch 0050/0462 | Cost: 14.8406
Epoch: 002/050 | Batch 0100/0462 | Cost: 14.7796
Epoch: 002/050 | Batch 0150/0462 | Cost: 14.2513
Epoch: 002/050 | Batch 0200/0462 | Cost: 14.5752
Epoch: 002/050 | Batch 0250/0462 | Cost: 14.3146
Epoch: 002/050 | Batch 0300/0462 | Cost: 13.8702
Epoch: 002/050 | Batch 0350/0462 | Cost: 13.6722
Epoch: 002/050 | Batch 0400/0462 | Cost: 13.5169
Epoch: 002/050 | Batch 0450/0462 | Cost: 13.6018
MAE/RMSE/Loss/Accuracy: | Current Valid: 6.39/7.94/13.5414/4.34% Ep. 1 | Best Valid : 6.39/7.94/13.5414/4.34% Ep. 1
Time elapsed: 3.17 min
Epoch: 003/050 | Batch 0000/0462 | Cost: 13.4363
Epoch: 003/050 | Batch 0050/0462 | Cost: 13.4711
Epoch: 003/050 | Batch 0100/0462 | Cost: 13.5711
Epoch: 003/050 | Batch 0150/0462 | Cost: 12.9785
Epoch: 003/050 | Batch 0200/0462 | Cost: 12.9547
Epoch: 003/050 | Batch 0250/0462 | Cost: 12.9721
Epoch: 003/050 | Batch 0300/0462 | Cost: 12.7160
Epoch: 003/050 | Batch 0350/0462 | Cost: 12.6796
Epoch: 003/050 | Batch 0400/0462 | Cost: 12.7773
Epoch: 003/050 | Batch 0450/0462 | Cost: 12.5250
MAE/RMSE/Loss/Accuracy: | Current Valid: 5.36/6.80/12.3967/5.72% Ep. 2 | Best Valid : 5.36/6.80/12.3967/5.72% Ep. 2
Time elapsed: 4.76 min
Epoch: 004/050 | Batch 0000/0462 | Cost: 12.4038
Epoch: 004/050 | Batch 0050/0462 | Cost: 12.5142
Epoch: 004/050 | Batch 0100/0462 | Cost: 12.5996
Epoch: 004/050 | Batch 0150/0462 | Cost: 12.0218
Epoch: 004/050 | Batch 0200/0462 | Cost: 11.8782
Epoch: 004/050 | Batch 0250/0462 | Cost: 12.2693
Epoch: 004/050 | Batch 0300/0462 | Cost: 11.9279
Epoch: 004/050 | Batch 0350/0462 | Cost: 12.0117
Epoch: 004/050 | Batch 0400/0462 | Cost: 12.0247
Epoch: 004/050 | Batch 0450/0462 | Cost: 11.8303
