PyTorch Version: 2.5.1
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 0
Task Importance Weight: 0
Output Path: ../my-logs/myafad-coral-0.4-3-seed0
Script: afad-coral.py
Epoch: 001/050 | Batch 0000/0462 | Cost: 17.9187
Epoch: 001/050 | Batch 0050/0462 | Cost: 16.7470
Epoch: 001/050 | Batch 0100/0462 | Cost: 16.2511
Epoch: 001/050 | Batch 0150/0462 | Cost: 16.0154
Epoch: 001/050 | Batch 0200/0462 | Cost: 15.9588
Epoch: 001/050 | Batch 0250/0462 | Cost: 15.5785
Epoch: 001/050 | Batch 0300/0462 | Cost: 15.4919
Epoch: 001/050 | Batch 0350/0462 | Cost: 15.3679
Epoch: 001/050 | Batch 0400/0462 | Cost: 14.8295
Epoch: 001/050 | Batch 0450/0462 | Cost: 15.1709
MAE/RMSE/Loss/Accuracy: | Current Valid: 7.26/8.89/14.8770/3.45% Ep. 0 | Best Valid : 7.26/8.89/14.8770/3.45% Ep. 0
Time elapsed: 1.59 min
Epoch: 002/050 | Batch 0000/0462 | Cost: 15.0069
Epoch: 002/050 | Batch 0050/0462 | Cost: 14.9785
Epoch: 002/050 | Batch 0100/0462 | Cost: 14.2837
Epoch: 002/050 | Batch 0150/0462 | Cost: 14.3563
Epoch: 002/050 | Batch 0200/0462 | Cost: 13.9706
Epoch: 002/050 | Batch 0250/0462 | Cost: 14.6432
Epoch: 002/050 | Batch 0300/0462 | Cost: 13.8495
Epoch: 002/050 | Batch 0350/0462 | Cost: 14.2245
Epoch: 002/050 | Batch 0400/0462 | Cost: 14.3329
Epoch: 002/050 | Batch 0450/0462 | Cost: 13.7171
MAE/RMSE/Loss/Accuracy: | Current Valid: 6.31/7.86/13.4990/4.63% Ep. 1 | Best Valid : 6.31/7.86/13.4990/4.63% Ep. 1
Time elapsed: 3.17 min
Epoch: 003/050 | Batch 0000/0462 | Cost: 13.2813
Epoch: 003/050 | Batch 0050/0462 | Cost: 13.3310
Epoch: 003/050 | Batch 0100/0462 | Cost: 13.1604
Epoch: 003/050 | Batch 0150/0462 | Cost: 13.1021
Epoch: 003/050 | Batch 0200/0462 | Cost: 13.1435
Epoch: 003/050 | Batch 0250/0462 | Cost: 13.1436
Epoch: 003/050 | Batch 0300/0462 | Cost: 12.8919
Epoch: 003/050 | Batch 0350/0462 | Cost: 13.0501
Epoch: 003/050 | Batch 0400/0462 | Cost: 12.8645
Epoch: 003/050 | Batch 0450/0462 | Cost: 12.7310
MAE/RMSE/Loss/Accuracy: | Current Valid: 5.63/7.09/12.6159/5.36% Ep. 2 | Best Valid : 5.63/7.09/12.6159/5.36% Ep. 2
Time elapsed: 4.76 min
Epoch: 004/050 | Batch 0000/0462 | Cost: 12.4006
Epoch: 004/050 | Batch 0050/0462 | Cost: 12.3296
Epoch: 004/050 | Batch 0100/0462 | Cost: 12.4972
Epoch: 004/050 | Batch 0150/0462 | Cost: 12.1506
Epoch: 004/050 | Batch 0200/0462 | Cost: 12.2175
Epoch: 004/050 | Batch 0250/0462 | Cost: 12.6403
Epoch: 004/050 | Batch 0300/0462 | Cost: 12.1290
Epoch: 004/050 | Batch 0350/0462 | Cost: 11.7196
Epoch: 004/050 | Batch 0400/0462 | Cost: 11.5877
Epoch: 004/050 | Batch 0450/0462 | Cost: 11.6314
MAE/RMSE/Loss/Accuracy: | Current Valid: 4.83/6.23/11.7119/6.98% Ep. 3 | Best Valid : 4.83/6.23/11.7119/6.98% Ep. 3
Time elapsed: 6.35 min
Epoch: 005/050 | Batch 0000/0462 | Cost: 11.9852
Epoch: 005/050 | Batch 0050/0462 | Cost: 11.8648
Epoch: 005/050 | Batch 0100/0462 | Cost: 11.1391
Epoch: 005/050 | Batch 0150/0462 | Cost: 11.5659
Epoch: 005/050 | Batch 0200/0462 | Cost: 11.4153
Epoch: 005/050 | Batch 0250/0462 | Cost: 11.4256
Epoch: 005/050 | Batch 0300/0462 | Cost: 11.1983
Epoch: 005/050 | Batch 0350/0462 | Cost: 11.6366
Epoch: 005/050 | Batch 0400/0462 | Cost: 11.0226
Epoch: 005/050 | Batch 0450/0462 | Cost: 11.3725
MAE/RMSE/Loss/Accuracy: | Current Valid: 4.28/5.60/11.0003/8.04% Ep. 4 | Best Valid : 4.28/5.60/11.0003/8.04% Ep. 4
Time elapsed: 8.80 min
Epoch: 006/050 | Batch 0000/0462 | Cost: 10.7501
Epoch: 006/050 | Batch 0050/0462 | Cost: 11.0464
Epoch: 006/050 | Batch 0100/0462 | Cost: 10.9746
Epoch: 006/050 | Batch 0150/0462 | Cost: 11.0418
Epoch: 006/050 | Batch 0200/0462 | Cost: 10.7680
Epoch: 006/050 | Batch 0250/0462 | Cost: 10.9510
Epoch: 006/050 | Batch 0300/0462 | Cost: 10.2725
Epoch: 006/050 | Batch 0350/0462 | Cost: 10.6588
